Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Heating,Waterfront,Sewer,Pool,Garden,Balcony
1750000.0,6.0,3.0,2181.0,49.2701553,-123.0751638,0.04,No,No,No,forced air,No,none,No,No,No
1362900.0,2.0,2.0,784.0,49.2649358,-123.1409983,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
1399900.0,2.0,2.0,799.0,49.2649358,-123.1409983,0.0,Yes,No,No,heat pump,No,none,No,No,No
1579900.0,2.0,2.0,881.0,49.2649358,-123.1409983,0.0,Yes,No,No,heat pump,No,none,No,No,No
893900.0,1.0,1.0,527.0,49.2649358,-123.1409983,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
1174900.0,3.0,2.0,970.0,49.2381414,-123.0528697,0.0,No,No,No,heat pump,No,none,No,No,No
898000.0,1.0,1.0,629.0,49.2769244,-123.1232442,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
2265000.0,3.0,2.0,1356.0,49.2769244,-123.1232442,0.0,Yes,No,No,forced air,No,none,No,No,No
3799000.0,8.0,5.0,3297.0,49.2151005,-123.1407297,0.13,Yes,No,Yes,radiant,No,none,No,No,No
550000.0,3.0,2.0,995.0,49.2615234,-123.053316,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1899000.0,5.0,4.0,1746.0,49.2230654,-123.0742259,0.11,Yes,No,No,radiant,No,none,No,No,No
1095000.0,2.0,2.0,894.0,49.2677333,-123.1429678,0.0,Yes,Yes,Yes,heat pump,No,none,No,No,No
3688000.0,8.0,6.0,3932.0,49.2202777,-123.0956723,0.11,Yes,No,No,radiant,No,none,No,No,No
808000.0,1.0,2.0,883.0,49.228178,-123.1176167,0.0,Yes,No,Yes,radiant,No,none,No,No,No
589900.0,1.0,1.0,479.0,49.232991,-123.023952,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1398000.0,3.0,3.0,1281.0,49.2165201,-123.129695,0.0,Yes,Yes,No,alt heat,No,none,No,No,No
2299900.0,2.0,3.0,1675.0,49.2640279,-123.2055215,0.0,Yes,No,Yes,boiler,No,none,No,No,No
1038000.0,2.0,2.0,1038.0,49.2792683,-123.1274721,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1139000.0,2.0,2.0,1069.0,49.2798569,-123.1266061,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
3888000.0,4.0,3.0,2522.0,49.2673265,-123.0536571,0.18,Yes,No,Yes,forced air,No,none,No,No,No
1098000.0,2.0,2.0,878.0,49.2622565,-123.2441688,0.0,Yes,Yes,No,radiant,No,none,No,No,No
489000.0,1.0,1.0,542.0,49.2770618,-123.1309189,0.0,Yes,Yes,No,boiler,No,none,No,No,No
2338000.0,4.0,2.0,1964.0,49.2649211,-123.182322,0.09,Yes,Yes,Yes,forced air,No,none,No,No,No
3999000.0,2.0,3.0,2441.0,49.2859438,-123.1238552,0.0,Yes,Yes,Yes,alt heat,No,none,No,No,No
525000.0,1.0,1.0,521.0,49.2112675,-123.0897125,0.0,No,No,No,forced air,No,none,No,No,No
1989000.0,2.0,3.0,1452.0,49.2207872,-123.14121,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
3688000.0,7.0,4.0,4507.0,49.2358923,-123.1834102,0.15,Yes,No,Yes,boiler,No,none,No,No,No
638900.0,1.0,1.0,758.0,49.2351422,-123.0261651,0.0,Yes,Yes,No,radiant,No,none,No,No,No
988000.0,2.0,3.0,1086.0,49.2477757,-123.1215182,0.0,No,No,No,forced air,No,none,No,No,No
4788000.0,2.0,3.0,2005.0,49.2885563,-123.1180593,0.0,Yes,Yes,Yes,forced air,No,none,No,No,No
715000.0,2.0,1.0,704.0,49.232991,-123.023952,0.0,Yes,No,No,radiant,No,none,No,No,No
819900.0,1.0,1.0,794.0,49.2599842,-123.1204298,0.0,Yes,Yes,No,radiant,No,none,No,No,No
595000.0,1.0,1.0,606.0,49.2773815,-123.1273306,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1868888.0,3.0,3.0,1562.0,49.2337592,-123.1100599,0.0,Yes,No,Yes,forced air,No,none,No,No,No
3988000.0,4.0,3.0,3292.0,49.2420946,-123.1870348,0.15,Yes,No,Yes,forced air,No,none,No,No,No
6500000.0,3.0,5.0,4835.0,49.2468958,-123.1455245,0.25,Yes,Yes,Yes,radiant,No,none,No,No,No
915000.0,2.0,2.0,746.0,49.2689672,-123.0704552,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1688000.0,2.0,3.0,1184.0,49.2264236,-123.1228577,0.0,Yes,Yes,No,forced air,No,none,No,No,No
785000.0,1.0,1.0,754.0,49.2672399,-123.0957596,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1249000.0,2.0,2.0,915.0,49.2749667,-123.1153764,0.0,Yes,No,No,forced air,No,none,No,No,No
659000.0,1.0,1.0,599.0,49.2780963,-123.1156255,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1499999.0,4.0,2.0,1624.0,49.2529857,-123.0756326,0.08,No,No,No,forced air,No,none,No,No,No
768000.0,1.0,1.0,716.0,49.2354608,-123.0274905,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1099000.0,2.0,2.0,854.0,49.2689672,-123.0704552,0.0,Yes,No,No,radiant,No,none,No,No,No
899000.0,2.0,2.0,1012.0,49.2756184,-123.1341972,0.0,Yes,No,No,radiant,No,none,No,No,No
688000.0,0.0,1.0,738.0,49.2807959,-123.108685,0.0,Yes,No,No,boiler,No,none,No,No,No
899000.0,2.0,2.0,1022.0,49.2841489,-123.0584947,0.0,Yes,Yes,No,radiant,No,none,No,No,No
2298000.0,5.0,2.0,2434.0,49.2377767,-123.096275,0.09,Yes,Yes,No,forced air,No,none,No,No,No
569000.0,1.0,1.0,538.0,49.2794889,-123.124186,0.0,Yes,Yes,No,radiant,No,none,No,No,No
749900.0,1.0,1.0,888.0,49.2481865,-123.1571901,0.0,Yes,Yes,No,radiant,No,none,No,No,No
878900.0,2.0,1.0,759.0,49.2099601,-123.1297902,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
918000.0,2.0,2.0,1046.0,49.206689,-123.0376945,0.0,Yes,Yes,No,boiler,No,none,No,No,No
1598000.0,2.0,2.0,956.0,49.2834893,-123.135771,0.0,Yes,No,No,forced air,No,none,No,No,No
2875000.0,5.0,3.0,2534.0,49.2512862,-123.1188459,0.09,Yes,No,Yes,forced air,No,none,No,No,No
