Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price,name
950900.0,2.0,1.0,592.0,49.2387201,-123.1181326,0.0,Yes,Yes,No,No,No,No,No,13.765165235162277,South Cambie
889000.0,2.0,1.0,709.0,49.2755788,-123.1278306,0.0,Yes,Yes,No,No,No,No,No,13.697853639354802,Downtown
2079900.0,3.0,3.0,1634.0,49.2454358,-123.1186925,0.0,Yes,Yes,No,No,No,No,No,14.547830854390922,South Cambie
489900.0,1.0,1.0,412.0,49.2817925,-123.104127,0.0,No,No,No,No,No,No,No,13.101958608857489,Downtown
1068000.0,2.0,2.0,783.0,49.2749667,-123.1153764,0.0,Yes,Yes,No,No,No,No,No,13.881299234831427,Downtown
1999900.0,3.0,3.0,1628.0,49.2449448,-123.1187266,0.0,Yes,Yes,No,No,No,No,No,14.508608237299054,South Cambie
569900.0,1.0,1.0,687.0,49.2065576,-123.0651428,0.0,Yes,No,Yes,No,No,No,No,13.253217940515356,Victoria-Fraserview
5280000.0,2.0,3.0,2320.0,49.2880558,-123.1168602,0.0,Yes,Yes,Yes,No,No,No,No,15.479436845076366,Downtown
1650000.0,3.0,2.0,1717.0,49.2472611,-123.0246124,0.08,Yes,No,Yes,No,No,No,No,14.316286451937186,Renfrew-Collingwood
499000.0,1.0,1.0,615.0,49.2087894,-123.1362926,0.0,Yes,Yes,Yes,No,No,No,No,13.120363378739665,Marpole
1799000.0,6.0,2.0,2034.0,49.2314391,-123.0780782,0.11,Yes,No,Yes,No,No,No,No,14.402742068796885,Sunset
872000.0,1.0,1.0,757.0,49.267624,-123.1140825,0.0,Yes,Yes,No,No,No,No,No,13.67854584967945,Mount Pleasant
1998000.0,2.0,2.0,1344.0,49.2694094,-123.1579127,0.0,Yes,No,Yes,No,No,No,No,14.50765773869101,Kitsilano
930000.0,2.0,1.0,1031.0,49.2575388,-123.138386,0.0,No,No,No,No,No,No,No,13.742940940397675,Fairview
1748800.0,4.0,2.0,1967.0,49.2879816,-123.04838,0.0,Yes,Yes,Yes,No,No,No,No,14.374440968224924,Hastings-Sunrise
669300.0,1.0,1.0,559.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.41398916318593,Killarney
579000.0,1.0,1.0,587.0,49.2765255,-123.122747,0.0,Yes,Yes,No,No,No,No,No,13.269059483669356,Downtown
430000.0,1.0,1.0,563.0,49.2829676,-123.100636,0.0,No,Yes,No,No,No,No,No,12.971542813248435,Downtown
3588000.0,4.0,4.0,2623.0,49.2492314,-123.175098,0.1,Yes,No,Yes,No,No,No,No,15.093105780867583,Dunbar-Southlands
880000.0,2.0,3.0,1068.0,49.2823994,-123.0921454,0.0,Yes,No,No,No,No,No,No,13.68767832281738,Strathcona
995600.0,2.0,2.0,830.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.811101853894517,Killarney
2845000.0,5.0,4.0,2101.0,49.2594627,-123.1787611,0.13,Yes,No,Yes,No,No,No,No,14.861073977036355,Kitsilano
748888.0,1.0,1.0,590.0,49.2629284,-123.15147,0.0,Yes,No,No,No,No,No,No,13.526346053920212,Kitsilano
977400.0,2.0,2.0,831.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.79265228694024,Killarney
2699000.0,10.0,8.0,3612.0,49.2468154,-123.0393349,0.09,Yes,Yes,No,No,No,No,No,14.808392262507668,Renfrew-Collingwood
616888.0,1.0,1.0,529.0,49.232991,-123.023952,0.0,Yes,Yes,No,No,No,No,No,13.332444383947816,Renfrew-Collingwood
1337400.0,3.0,2.0,997.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,14.106238736321192,Killarney
652000.0,1.0,1.0,491.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.387801374649944,Killarney
942000.0,2.0,2.0,936.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.755761615129062,Killarney
1849000.0,4.0,2.0,2114.0,49.2760318,-123.0556976,0.08,Yes,Yes,Yes,No,No,No,No,14.430156051201998,Hastings-Sunrise
644900.0,1.0,1.0,617.0,49.2625336,-123.0592146,0.0,Yes,No,No,No,No,No,No,13.37685209562527,Grandview-Woodland
769000.0,2.0,2.0,843.0,49.2699868,-123.0446769,0.0,Yes,Yes,No,No,No,No,No,13.552847548877052,Hastings-Sunrise
2298000.0,3.0,3.0,1520.0,49.2521907,-123.1824969,0.0,Yes,No,No,No,No,No,No,14.647550172551751,Dunbar-Southlands
499000.0,1.0,1.0,554.0,49.2035504,-123.1342248,0.0,Yes,Yes,Yes,No,No,No,No,13.120363378739665,Marpole
1966900.0,2.0,3.0,1063.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.491969765652112,Fairview
1599900.0,2.0,3.0,911.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.285452310295671,Fairview
1405900.0,2.0,2.0,876.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.156188936355887,Fairview
1750000.0,6.0,3.0,2181.0,49.2701553,-123.0751638,0.04,No,No,No,No,No,No,No,14.375126917328105,Grandview-Woodland
1362900.0,2.0,2.0,784.0,49.2649358,-123.1409983,0.0,Yes,Yes,No,No,No,No,No,14.125126074144882,Fairview
1399900.0,2.0,2.0,799.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.1519120777994,Fairview
1579900.0,2.0,2.0,881.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.272872744812192,Fairview
893900.0,1.0,1.0,527.0,49.2649358,-123.1409983,0.0,Yes,Yes,No,No,No,No,No,13.703350309768684,Fairview
1174900.0,3.0,2.0,970.0,49.2381414,-123.0528697,0.0,No,No,No,No,No,No,No,13.97669444669157,Renfrew-Collingwood
898000.0,1.0,1.0,629.0,49.2769244,-123.1232442,0.0,Yes,Yes,No,No,No,No,No,13.707926460869462,Downtown
2265000.0,3.0,2.0,1356.0,49.2769244,-123.1232442,0.0,Yes,No,No,No,No,No,No,14.633085758400275,Downtown
559900.0,1.0,1.0,466.0,49.209979,-123.1159757,0.0,Yes,Yes,No,No,No,No,No,13.23551526136861,Marpole
3799000.0,8.0,5.0,3297.0,49.2151005,-123.1407297,0.13,Yes,No,Yes,No,No,No,No,15.150248695396892,Marpole
550000.0,3.0,2.0,995.0,49.2615234,-123.053316,0.0,Yes,Yes,No,No,No,No,No,13.21767537538882,Renfrew-Collingwood
1899000.0,5.0,4.0,1746.0,49.2230654,-123.0742259,0.11,Yes,No,No,No,No,No,No,14.456838516387228,Victoria-Fraserview
1095000.0,2.0,2.0,894.0,49.2677333,-123.1429678,0.0,Yes,Yes,Yes,No,No,No,No,13.90626583447433,Fairview
3688000.0,8.0,6.0,3932.0,49.2202777,-123.0956723,0.11,Yes,No,No,No,No,No,No,15.12059513480826,Sunset
808000.0,1.0,2.0,883.0,49.228178,-123.1176167,0.0,Yes,No,Yes,No,No,No,No,13.60231857512623,Oakridge
589900.0,1.0,1.0,479.0,49.232991,-123.023952,0.0,Yes,Yes,No,No,No,No,No,13.287710005192306,Renfrew-Collingwood
735000.0,1.0,1.0,642.0,49.2761893,-123.12245,0.0,Yes,Yes,No,No,No,No,No,13.507627138738266,Downtown
1398000.0,3.0,3.0,1281.0,49.2165201,-123.129695,0.0,Yes,Yes,No,No,No,No,No,14.15055391708322,Marpole
649000.0,1.0,1.0,508.0,49.2760391,-123.1264715,0.0,Yes,Yes,No,No,No,No,No,13.38318953651709,Downtown
2299900.0,2.0,3.0,1675.0,49.2640279,-123.2055215,0.0,Yes,No,Yes,No,No,No,No,14.64837663649472,West Point Grey
1038000.0,2.0,2.0,1038.0,49.2792683,-123.1274721,0.0,Yes,Yes,No,No,No,No,No,13.852807306098644,Downtown
1139000.0,2.0,2.0,1069.0,49.2798569,-123.1266061,0.0,Yes,Yes,No,No,No,No,No,13.94566212039206,Downtown
3888000.0,4.0,3.0,2522.0,49.2673265,-123.0536571,0.18,Yes,No,Yes,No,No,No,No,15.17340570176408,Hastings-Sunrise
489000.0,1.0,1.0,542.0,49.2770618,-123.1309189,0.0,Yes,Yes,No,No,No,No,No,13.100119813444692,Downtown
2338000.0,4.0,2.0,1964.0,49.2649211,-123.182322,0.09,Yes,Yes,Yes,No,No,No,No,14.664806848730056,Kitsilano
3999000.0,2.0,3.0,2441.0,49.2859438,-123.1238552,0.0,Yes,Yes,Yes,No,No,No,No,15.20155513789144,West End
