Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price
499000.0,1.0,1.0,615.0,49.2087894,-123.1362926,0.0,Yes,Yes,Yes,No,No,No,No,13.120363378739663
1799000.0,6.0,2.0,2034.0,49.2314391,-123.0780782,0.11,Yes,No,Yes,No,No,No,No,14.402742068796885
872000.0,1.0,1.0,757.0,49.267624,-123.1140825,0.0,Yes,Yes,No,No,No,No,No,13.67854584967945
1998000.0,2.0,2.0,1344.0,49.2694094,-123.1579127,0.0,Yes,No,Yes,No,No,No,No,14.50765773869101
2388000.0,3.0,4.0,2386.0,49.2725854,-123.2491114,0.0,Yes,Yes,Yes,No,No,No,No,14.685967172255012
930000.0,2.0,1.0,1031.0,49.2575388,-123.138386,0.0,No,No,No,No,No,No,No,13.742940940397677
1748800.0,4.0,2.0,1967.0,49.2879816,-123.04838,0.0,Yes,Yes,Yes,No,No,No,No,14.374440968224924
669300.0,1.0,1.0,559.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.41398916318593
579000.0,1.0,1.0,587.0,49.2765255,-123.122747,0.0,Yes,Yes,No,No,No,No,No,13.269059483669357
430000.0,1.0,1.0,563.0,49.2829676,-123.100636,0.0,No,Yes,No,No,No,No,No,12.971542813248437
3588000.0,4.0,4.0,2623.0,49.2492314,-123.175098,0.1,Yes,No,Yes,No,No,No,No,15.093105780867585
880000.0,2.0,3.0,1068.0,49.2823994,-123.0921454,0.0,Yes,No,No,No,No,No,No,13.68767832281738
995600.0,2.0,2.0,830.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.811101853894515
2845000.0,5.0,4.0,2101.0,49.2594627,-123.1787611,0.13,Yes,No,Yes,No,No,No,No,14.861073977036355
748888.0,1.0,1.0,590.0,49.2629284,-123.15147,0.0,Yes,No,No,No,No,No,No,13.526346053920212
977400.0,2.0,2.0,831.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.792652286940239
2699000.0,10.0,8.0,3612.0,49.2468154,-123.0393349,0.09,Yes,Yes,No,No,No,No,No,14.808392262507668
616888.0,1.0,1.0,529.0,49.232991,-123.023952,0.0,Yes,Yes,No,No,No,No,No,13.332444383947816
1337400.0,3.0,2.0,997.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,14.106238736321192
652000.0,1.0,1.0,491.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.387801374649944
942000.0,2.0,2.0,936.0,49.2057197,-123.0311682,0.0,Yes,Yes,No,No,No,No,No,13.755761615129062
1849000.0,4.0,2.0,2114.0,49.2760318,-123.0556976,0.08,Yes,Yes,Yes,No,No,No,No,14.430156051201998
644900.0,1.0,1.0,617.0,49.2625336,-123.0592146,0.0,Yes,No,No,No,No,No,No,13.37685209562527
769000.0,2.0,2.0,843.0,49.2699868,-123.0446769,0.0,Yes,Yes,No,No,No,No,No,13.552847548877052
2298000.0,3.0,3.0,1520.0,49.2521907,-123.1824969,0.0,Yes,No,No,No,No,No,No,14.647550172551753
499000.0,1.0,1.0,554.0,49.2035504,-123.1342248,0.0,Yes,Yes,Yes,No,No,No,No,13.120363378739663
1966900.0,2.0,3.0,1063.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.491969765652112
1599900.0,2.0,3.0,911.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.285452310295673
1405900.0,2.0,2.0,876.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.156188936355889
1750000.0,6.0,3.0,2181.0,49.2701553,-123.0751638,0.04,No,No,No,No,No,No,No,14.375126917328105
1362900.0,2.0,2.0,784.0,49.2649358,-123.1409983,0.0,Yes,Yes,No,No,No,No,No,14.125126074144882
1399900.0,2.0,2.0,799.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.1519120777994
1579900.0,2.0,2.0,881.0,49.2649358,-123.1409983,0.0,Yes,No,No,No,No,No,No,14.272872744812192
893900.0,1.0,1.0,527.0,49.2649358,-123.1409983,0.0,Yes,Yes,No,No,No,No,No,13.703350309768684
1174900.0,3.0,2.0,970.0,49.2381414,-123.0528697,0.0,No,No,No,No,No,No,No,13.97669444669157
898000.0,1.0,1.0,629.0,49.2769244,-123.1232442,0.0,Yes,Yes,No,No,No,No,No,13.707926460869462
2265000.0,3.0,2.0,1356.0,49.2769244,-123.1232442,0.0,Yes,No,No,No,No,No,No,14.633085758400277
559900.0,1.0,1.0,466.0,49.209979,-123.1159757,0.0,Yes,Yes,No,No,No,No,No,13.23551526136861
3799000.0,8.0,5.0,3297.0,49.2151005,-123.1407297,0.13,Yes,No,Yes,No,No,No,No,15.150248695396893
